STOPNAME,TRAPEZESTO,RUCUSSTOPA,STOPID,LATITUDE,LONGITUDE,ACCESSIBIL,ATSTREET,ONSTREET,POSITION,ORIENTATIO,SERVICEPLA,SHELTER,INSERT_TIM,SIGNUPID,SUPERVISOR
Divisadero St&Mcallister St NE-FS,DIVIMCA1,DIVIMCAL,4428.0000000000,37.7778600000,-122.4383000000,0.0000000000,MCALLISTER ST,DIVISADERO ST,FS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Divisadero St&Geary Blvd SW-FS/BZ,DIVIGEA0,DIVIGEAR,4422.0000000000,37.7831600000,-122.4395260000,0.0000000000,GEARY BLVD,DIVISADERO ST,FS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Noe St&29th St NW-NS/PS,NOE 29S0,NOE 29ST,5736.0000000000,37.7435400000,-122.4311700000,0.0000000000,29TH ST,NOE ST,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Divisadero St&Oak St NE-FS/BZ,DIVIOAK1,DIVIOAK,4431.0000000000,37.7731850000,-122.4373500000,0.0000000000,OAK ST,DIVISADERO ST,FS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Divisadero St&Eddy St SW-FS/BZ,DIVIEDD0,DIVIEDDY,4415.0000000000,37.7804480000,-122.4389760000,0.0000000000,TURK ST,DIVISADERO ST,FS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Castro St&16th St NE-FS/BZ,CTRO16S1,CTRO16ST,4311.0000000000,37.7641640000,-122.4352540000,0.0000000000,16TH ST,CASTRO ST,FS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Cortland Ave&Bradford St N-MB/PS,CORTBRF1,CORTBRFD,4147.0000000000,37.7397910000,-122.4097460000,0.0000000000,BRADFORD ST,CORTLAND AVE,MB,N,,0.0000000000,2012/02/23,76.0000000000,
Cortland Ave&Hilton St NW-FS/BZ,CORTHIL1,CORTHILT,4155.0000000000,37.7396920000,-122.4078100000,0.0000000000,HILTON ST,CORTLAND AVE,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Divisadero St&Geary Blvd NE-FS/BZ,DIVIGEA1,DIVIGEAR,4421.0000000000,37.7833750000,-122.4394120000,0.0000000000,GEARY BLVD,DIVISADERO ST,FS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
Cortland Ave&Elsie St W-NS/BZ,CORTELS0,CORTELSE,4150.0000000000,37.7397000000,-122.4196900000,0.0000000000,ELSIE ST,CORTLAND AVE,NS,W,BZ,0.0000000000,2012/02/23,76.0000000000,
Cortland Ave&Folsom St NW-FS/BZ,CORTFOL1,CORTFOLS,4153.0000000000,37.7390000000,-122.4136600000,0.0000000000,FOLSOM ST,CORTLAND AVE,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
30th St&Church St SE-FS/PS,30STCHU0,30STCHUR,3536.0000000000,37.7420400000,-122.4267600000,0.0000000000,CHURCH ST,30TH ST,FS,SE,,0.0000000000,2012/02/23,76.0000000000,
26th St&Noe St SW-NS/PS,26STNOE0,26STNOE,3521.0000000000,37.7481740000,-122.4316360000,0.0000000000,NOE ST,26TH ST,NS,SW,,1.0000000000,2012/02/23,76.0000000000,
Palou Ave&Quint St E-NS/SB,PALUQUN1,PALUQUNT,5881.0000000000,37.7371630000,-122.3963670000,0.0000000000,QUINT ST,PALOU AVE,NS,E,,0.0000000000,2012/02/23,76.0000000000,
30th St&Mission St NW-FS/BZ,30STMIS1,30STMISS,3540.0000000000,37.7424350000,-122.4220600000,0.0000000000,MISSION ST,30TH ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Castro St&22nd St NW-NS/PS,CTRO22S0,CTRO22ST,4322.0000000000,37.7546400000,-122.4344800000,0.0000000000,22ND ST,CASTRO ST,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Palou Ave&Rankin St W-NS/PS,PALURAN0,PALURANK,5884.0000000000,37.7382500000,-122.3985300000,0.0000000000,RANKIN ST,PALOU AVE,NS,W,,0.0000000000,2012/02/23,76.0000000000,
Palou Ave&Rankin St E-NS/SB,PALURAN1,PALURANK,5883.0000000000,37.7382100000,-122.3982400000,0.0000000000,RANKIN ST,PALOU AVE,NS,E,,0.0000000000,2012/02/23,76.0000000000,
Palou Ave&Quint St W-NS/PS,PALUQUN0,PALUQUNT,5882.0000000000,37.7372160000,-122.3967220000,0.0000000000,QUINT ST,PALOU AVE,NS,W,,0.0000000000,2012/02/23,76.0000000000,
Newcomb Ave&Newhall St E-NS/SB,NEWCNEW1,NEWCNEWH,5490.0000000000,37.7363040000,-122.3915220000,0.0000000000,NEWHALL ST,NEWCOMB AVE,NS,E,,0.0000000000,2012/02/23,76.0000000000,
Castro St&Duboce Ave NW-NS/BZ,CTRODUB0,CTRODUBO,4330.0000000000,37.7691800000,-122.4359600000,0.0000000000,DUBOCE AVE,CASTRO ST,NS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Castro St&24th St SE-NS/BZ,CTRO24S1,CTRO24ST,4326.0000000000,37.7512000000,-122.4340100000,0.0000000000,24TH ST,CASTRO ST,NS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Cortland Ave&Prospect Ave N-FS/BZ,CORTPRO1,CORTPROS,4160.0000000000,37.7402940000,-122.4209040000,0.0000000000,PROSPECT AVE,CORTLAND AVE,FS,N,BZ,0.0000000000,2012/02/23,76.0000000000,
Cortland Ave&Ellsworth St NE-NS/PS,CORTEWT1,CORTEWTH,4151.0000000000,37.7389200000,-122.4145500000,0.0000000000,ELLSWORTH ST,CORTLAND AVE,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Palou Ave&Industrial St E-NS/SB,PALUIND1,PALUINDS,5867.0000000000,37.7395290000,-122.4005470000,0.0000000000,INDUSTRIAL ST,PALOU AVE,NS,E,,0.0000000000,2012/02/23,76.0000000000,
Divisadero St&Oak St SW-FS/BZ,DIVIOAK0,DIVIOAK,4432.0000000000,37.7730510000,-122.4374870000,0.0000000000,OAK ST,DIVISADERO ST,FS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Newhall St&Palou Ave N-NS/SB,NEWHPAL1,NEWHPALU,5492.0000000000,37.7351710000,-122.3927370000,0.0000000000,PALOU AVE,NEWHALL ST,NS,N,,0.0000000000,2012/02/23,76.0000000000,
Newhall St&Oakdale Ave N-NS/SB,NEWHOAK1,NEWHOAKD,5491.0000000000,37.7357960000,-122.3921750000,0.0000000000,OAKDALE AVE,NEWHALL ST,NS,N,,0.0000000000,2012/02/23,76.0000000000,
Industrial St&Revere Ave NE-NS/SB,INDSRVR1,INDSRVRE,5096.0000000000,37.7391300000,-122.4030500000,0.0000000000,REVERE AVE,INDUSTRIAL ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Industrial St&Palou Ave S-NS/PS,INDSPAL0,INDSPALU,5095.0000000000,37.7395500000,-122.4010100000,0.0000000000,PALOU AVE,INDUSTRIAL ST,NS,S,,0.0000000000,2012/02/23,76.0000000000,
Industrial St&Elmira St SE-FS/SB,INDSELM0,INDSELMR,5094.0000000000,37.7387900000,-122.4037300000,0.0000000000,ELMIRA ST,INDUSTRIAL ST,FS,SE,,0.0000000000,2012/02/23,76.0000000000,
Industrial St&Bayshore Blvd NE-NS,INDSBSH1,INDSBSHR,5092.0000000000,37.7381480000,-122.4065390000,0.0000000000,BAYSHORE BLVD,INDUSTRIAL ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Noe St&30th St NW-NS/PS,NOE 30S0,NOE 30ST,5738.0000000000,37.7420100000,-122.4310100000,0.0000000000,30TH ST,NOE ST,NS,NW,,1.0000000000,2012/02/23,76.0000000000,
Noe St&29th St SE-NS/PS,NOE 29S1,NOE 29ST,5737.0000000000,37.7433000000,-122.4310400000,0.0000000000,29TH ST,NOE ST,NS,SE,,1.0000000000,2012/02/23,76.0000000000,
Noe St&28th St SE-NS/PS,NOE 28S1,NOE 28ST,5735.0000000000,37.7449300000,-122.4311700000,0.0000000000,28TH ST,NOE ST,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
Noe St&28th St NW-NS/PS,NOE 28S0,NOE 28ST,5734.0000000000,37.7451900000,-122.4313400000,0.0000000000,28TH ST,NOE ST,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Noe St&27th St SE-NS/PS,NOE 27S1,NOE 27ST,5733.0000000000,37.7465400000,-122.4313200000,0.0000000000,27TH ST,NOE ST,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
Noe St&27th St NW-NS/PS,NOE 27S0,NOE 27ST,5732.0000000000,37.7466800000,-122.4314800000,0.0000000000,27TH ST,NOE ST,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Jackson St&Webster St NW-FS/BZ,JACKWEB1,JACKWEBS,5167.0000000000,37.7927160000,-122.4330250000,0.0000000000,WEBSTER ST,JACKSON ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Mansell St&John F Shelley Dr SW-NS,MANSJSH0,MANSJSHW,5348.0000000000,37.7187180000,-122.4186330000,0.0000000000,JOHN F SHELLEY DR,MANSELL ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Mansell St&John F Shelley Dr SW-NS,MANSJSSW,MANSJSHE,5346.0000000000,37.7180390000,-122.4142580000,0.0000000000,JOHN F SHELLEY DR,MANSELL ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Mansell St&Hamilton St N-NS/BZ,MANSHML1,MANSHMLT,5343.0000000000,37.7200980000,-122.4069160000,0.0000000000,HAMILTON ST,MANSELL ST,NS,N,BZ,0.0000000000,2012/02/23,76.0000000000,
Mansell St&Goettingen St W-FS/PS,MANSGOT1,MANSGOTT,5342.0000000000,37.7207660000,-122.4043380000,0.0000000000,GOETTINGEN ST,MANSELL ST,FS,W,,0.0000000000,2012/02/23,76.0000000000,
Mansell St&Dartmouth St S-NS/PS,MANSDAR0,MANSDART,5340.0000000000,37.7193760000,-122.4090580000,0.0000000000,DARTMOUTH ST,MANSELL ST,NS,S,,0.0000000000,2012/02/23,76.0000000000,
Mansell St&Dartmouth St N-NS/PS,MANSDAR1,MANSDART,5339.0000000000,37.7195810000,-122.4088860000,0.0000000000,DARTMOUTH ST,MANSELL ST,NS,N,,0.0000000000,2012/02/23,76.0000000000,
Mansell St&Brussels St S-NS/PS,MANSBRU0,MANSBRUS,5338.0000000000,37.7209260000,-122.4031240000,0.0000000000,BRUSSELS ST,MANSELL ST,NS,S,,0.0000000000,2012/02/23,76.0000000000,
Ingerson Ave&Griffith St E-MI/SB,INGRGRI1,INGRGRIF,5115.0000000000,37.7170120000,-122.3892120000,0.0000000000,GRIFFITH ST,INGERSON AVE,MI,E,,0.0000000000,2012/02/23,76.0000000000,
Hawes St&Gilman Ave S-NS/SB,HAWSGLM1,HAWSGLMN,4976.0000000000,37.7191980000,-122.3900120000,0.0000000000,GILMAN AVE,HAWES ST,NS,S,,0.0000000000,2012/02/23,76.0000000000,
Mansell St&Hamilton St S-NS/PS,MANSHML0,MANSHMLT,5344.0000000000,37.7198920000,-122.4070880000,0.0000000000,HAMILTON ST,MANSELL ST,NS,S,,0.0000000000,2012/02/23,76.0000000000,
Fitzgerald Ave&Keith St S-FS/BZ,FITZKET0,FITZKETH,4648.0000000000,37.7228950000,-122.3948420000,0.0000000000,KEITH ST,FITZGERALD AVE,FS,S,BZ,1.0000000000,2012/02/23,76.0000000000,
Fitzgerald Ave&Jennings St W-NS/PS,FITZJEN1,FITZJENN,4647.0000000000,37.7220280000,-122.3933200000,0.0000000000,JENNINGS ST,FITZGERALD AVE,NS,W,,0.0000000000,2012/02/23,76.0000000000,
Fitzgerald Ave&Hawes St W-NS/PS,FITZHAW1,FITZHAWS,4645.0000000000,37.7199210000,-122.3895870000,0.0000000000,HAWES ST,FITZGERALD AVE,NS,W,,0.0000000000,2012/02/23,76.0000000000,
Lake Merced&Middlefield Dr SE-FS/SB,L M MID0,L M MIDF,4839.0000000000,37.7294410000,-122.4862900000,0.0000000000,MIDDLEFIELD DR,LAKE MERCED BLVD,FS,SE,,0.0000000000,2012/02/23,76.0000000000,
Lake Merced&Middlefield Dr NE-NS,L M MID1,L M MIDF,4838.0000000000,37.7296280000,-122.4864040000,0.0000000000,MIDDLEFIELD DR,LAKE MERCED BLVD,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Mansell St&John F Shelley Dr NW-FS,MANSJSH1,MANSJSHE,5345.0000000000,37.7181190000,-122.4144640000,0.0000000000,JOHN F SHELLEY DR,MANSELL ST,FS,NW,,0.0000000000,2012/02/23,76.0000000000,
Grafton Ave&Plymouth Ave SW-NS/PS,GRAFPLY0,GRAFPLYM,4915.0000000000,37.7199620000,-122.4562320000,0.0000000000,PLYMOUTH AVE,GRAFTON AVE,NS,SW,,1.0000000000,2012/02/23,76.0000000000,
Grafton Ave&Jules Ave SW-NS/PS,GRAFJUL0,GRAFJULS,4912.0000000000,37.7199520000,-122.4613290000,0.0000000000,JULES AVE,GRAFTON AVE,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Grafton Ave&Granada Ave SW-NS/SB,GRAFGND0,GRAFGNDA,4910.0000000000,37.7199620000,-122.4572510000,0.0000000000,GRANADA AVE,GRAFTON AVE,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Garfield St&Victoria St SW-NS/PS,GARFVIC0,GARFVICT,4254.0000000000,37.7196130000,-122.4654520000,0.0000000000,VICTORIA ST,GARFIELD ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Garfield St&Vernon St NE-NS/SB,GARFVER1,GARFVERN,4253.0000000000,37.7197460000,-122.4679370000,0.0000000000,VERNON ST,GARFIELD ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Garfield St&Bright St SW-NS/SB,GARFBRG0,GARFBRGT,4247.0000000000,37.7197910000,-122.4636420000,0.0000000000,BRIGHT ST,GARFIELD ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Garfield St&Bright St NE-NS/SB,GARFBRG1,GARFBRGT,4246.0000000000,37.7199880000,-122.4634590000,0.0000000000,BRIGHT ST,GARFIELD ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Garfield St&Beverly St NE-NS/PS,GARFBEV1,GARFBEVR,4245.0000000000,37.7197190000,-122.4715330000,0.0000000000,BEVERLY ST,GARFIELD ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
19th Ave&Holloway Ave SE-NS/SB,19AVHOL2,,3357.0000000000,37.7209400000,-122.4750040000,0.0000000000,CRESPI DR,19TH AVE,,SE,,0.0000000000,2012/02/23,76.0000000000,
37th Ave&Lincoln Way SW-FS/PS,37AVLWA0,37AVLWAY,3562.0000000000,37.7643600000,-122.4966210000,0.0000000000,LINCOLN WY,37TH AVE,FS,SW,,0.0000000000,2012/02/23,76.0000000000,
36th Ave&Lincoln Way SE-NS/PS,36AVLWA1,36AVLWAY,3561.0000000000,37.7645570000,-122.4953720000,0.0000000000,LINCOLN WY,36TH AVE,NS,SE,,1.0000000000,2012/02/23,76.0000000000,
25th Ave&Lake St SE-NS/SB,25AVLAK0,25AVLAKE,3503.0000000000,37.7856890000,-122.4850340000,0.0000000000,CALIFORNIA ST,25TH AVE,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
25th Ave&Lake St NW-NS/SB,25AVLAKE,25AVLAKE,3502.0000000000,37.7858680000,-122.4852410000,0.0000000000,LAKE ST,25TH AVE,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
25th Ave&Geary Blvd NW-NS/BZ,25AVGEA1,25AVGEAR,3500.0000000000,37.7802550000,-122.4848370000,0.0000000000,GEARY BLVD,25TH AVE,NS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
25th Ave&Fulton St NW-NS/PS,25AVFUL0,25AVFULT,3499.0000000000,37.7726890000,-122.4842950000,0.0000000000,FULTON ST,25TH AVE,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
25th Ave&El Camino Del Mar SW-FS/SB,25AVECD0,25AVECDM,3498.0000000000,37.7873670000,-122.4853560000,0.0000000000,EL CAMINO DEL MAR,25TH AVE,FS,SW,,0.0000000000,2012/02/23,76.0000000000,
25th Ave&Clement St NW-NS/BZ,25AVCLM0,25AVCLMT,3495.0000000000,37.7821470000,-122.4849750000,0.0000000000,CLEMENT ST,25TH AVE,NS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
25th Ave&California St SE-NS/BZ,25AVCAL1,25AVCALI,3492.0000000000,37.7838070000,-122.4848500000,0.0000000000,25TH AVE,CALIFORNIA ST,NS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
25th Ave&California St NW-NS/BZ,25AVCALI,25CATERM,3491.0000000000,37.7840030000,-122.4851020000,0.0000000000,CALIFORNIA ST,25TH AVE,NS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
25th Ave&Balboa St NW-NS/PS,25AVBBO0,25AVBBOA,3489.0000000000,37.7764190000,-122.4845600000,0.0000000000,BALBOA ST,25TH AVE,NS,NW,,1.0000000000,2012/02/23,76.0000000000,
Baker Beach Parking Lot SW-FS/SB,BOWLGIB0,BOWLGIBS,3023.0000000000,37.7902490000,-122.4822630000,0.0000000000,GIBSON RD,BOWLEY ST,FS,SW,,0.0000000000,2012/02/23,76.0000000000,
5th St&Brannan St S-FS/BZ,5STBRAN,,7622.0000000000,37.7764500000,-122.3987230000,0.0000000000,BLUXOME ST,5TH ST,,,,0.0000000000,2012/02/23,76.0000000000,
5th St&Harrison St S-FS/BZ,5STHARR,,7650.0000000000,37.7789400000,-122.4018280000,0.0000000000,HARRISON ST,5TH ST,,,,0.0000000000,2012/02/23,76.0000000000,
Mason St&Geary Blvd NE-NS/BZ,MASNGEAR,,7649.0000000000,37.7872140000,-122.4099620000,0.0000000000,DERBY ST,MASON ST,,,,0.0000000000,2012/02/23,76.0000000000,
Divisadero St&Bay St. NW-NS/PS,DIVIBAY,,7568.0000000000,37.8019070000,-122.4433310000,0.0000000000,BRODERICK ST,BAY ST,,,,0.0000000000,2012/02/23,76.0000000000,
5th St&Stevenson W-NS/CS,5STSTVN,,7651.0000000000,37.7835020000,-122.4076250000,0.0000000000,STEVENSON ST,5TH ST,,,,0.0000000000,2012/02/23,76.0000000000,
Union St&Leavenworth St NW-FS/PS,UNINLEA0,UNINLEAV,6768.0000000000,37.7994490000,-122.4175450000,0.0000000000,LEAVENWORTH ST,UNION ST,FS,NW,,0.0000000000,2012/02/23,76.0000000000,
Union St&Larkin St SE-FS/BZ,UNINLAR1,UNINLARK,6767.0000000000,37.7989500000,-122.4205270000,0.0000000000,LARKIN ST,UNION ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Van Ness &North Point W-MB,V.N.N.P0,V.N.N.PT,6819.0000000000,37.8046800000,-122.4253630000,0.0000000000,NORTH POINT ST,VAN NESS AVE,NS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Broderick St&Beach St SE-NS/SB,BDRKBEC0,BDRKBECH,3074.0000000000,37.8034150000,-122.4451760000,0.0000000000,BEACH ST,BRODERICK ST,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
Union St&Baker St NE-NS,UNINBAK0,UNINBAKR,6745.0000000000,37.7959020000,-122.4453140000,0.0000000000,BAKER ST,UNION ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Union St&Pierce St NE-NS/BZ,UNINPIE0,UNINPIER,6777.0000000000,37.7967400000,-122.4386880000,0.0000000000,PIERCE ST,UNION ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Chestnut St&Pierce St NW-FS/BZ,CHESPIE0,CHESPIER,3952.0000000000,37.8004430000,-122.4396730000,0.0000000000,PIERCE ST,CHESTNUT ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Stockton St&Columbus Ave SE-NS/BZ,STOKCOL0,STOKCOLM,6512.0000000000,37.7992150000,-122.4088780000,0.0000000000,COLUMBUS AVE,STOCKTON ST,NS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Stockton St&Clay St E-MB/BB,STOKCLA0,STOKCLAY,6511.0000000000,37.7937360000,-122.4077570000,0.0000000000,CLAY ST,STOCKTON ST,MB,E,BB,0.0000000000,2012/02/23,76.0000000000,
Union St&Divisadero St NE-NS/BZ,UNINDIV0,UNINDIVI,6752.0000000000,37.7963210000,-122.4419900000,0.0000000000,DIVISADERO ST,UNION ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Columbus Ave S-MB/BZ,UNINCOL1,UNINCOLM,6751.0000000000,37.8001970000,-122.4106430000,0.0000000000,COLUMBUS AVE,UNION ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Larkin St NE-NS/BZ,UNINLAR0,UNINLARK,6766.0000000000,37.7990660000,-122.4206070000,0.0000000000,LARKIN ST,UNION ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Jones St SW-NS/BZ,UNINJON1,UNINJONE,6763.0000000000,37.7995380000,-122.4158600000,0.0000000000,JONES ST,UNION ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Jones St NE-NS/BZ,UNINJON0,UNINJONE,6762.0000000000,37.7996900000,-122.4156650000,0.0000000000,JONES ST,UNION ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Hyde St SW-NS/BZ,UNINHYD1,UNINHYDE,6761.0000000000,37.7991200000,-122.4191510000,0.0000000000,HYDE ST,UNION ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Buchanan St NE-NS/BZ,UNINBUCH,UNINBUCH,7056.0000000000,37.7975780000,-122.4321070000,0.0000000000,BUCHANAN ST,UNION ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Pierce St SW-NS/BZ,UNINPIE1,UNINPIER,6778.0000000000,37.7965890000,-122.4388830000,0.0000000000,PIERCE ST,UNION ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Howard St&New Montgomery St W-FS/BZ,HWRDMTGY,,7411.0000000000,37.7860770000,-122.3992560000,0.0000000000,NEW MONTGOMERY ST,HOWARD ST,,,,0.0000000000,2012/02/23,76.0000000000,
Union St&Steiner St ** MI,UNINSTEI,,7223.0000000000,37.7968740000,-122.4371400000,0.0000000000,STEINER ST,UNION ST,,,,0.0000000000,2012/02/23,76.0000000000,
Columbus Ave&Filbert St W-NS/BZ,COLMFIL1,COLMFILB,4105.0000000000,37.8011880000,-122.4116050000,0.0000000000,FILBERT ST,COLUMBUS AVE,NS,W,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Columbus Ave  NE-NS/BZ,UNINCOL0,UNINCOLM,6750.0000000000,37.8004110000,-122.4099320000,0.0000000000,COLUMBUS AVE,UNION ST,MB,S,BZ,0.0000000000,2012/02/23,76.0000000000,
Chestnut St&Mallorca Way NW-FS/BZ,CHESMLC0,CHESMLCA,3949.0000000000,37.8007200000,-122.4374600000,0.0000000000,MALLORCA WAY,CHESTNUT ST,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Stockton St&Pacific Ave E-MB/BB,STOKPAC0,STOKPACF,6520.0000000000,37.7962440000,-122.4082600000,0.0000000000,PACIFIC AVE,STOCKTON ST,MB,E,BB,0.0000000000,2012/02/23,76.0000000000,
Union St&Mason St SW-NS/BZ,UNINMAS1,UNINMASN,6774.0000000000,37.7999570000,-122.4125690000,0.0000000000,MASON ST,UNION ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Mason St NE-NS/BZ,UNINMAS0,UNINMASN,6773.0000000000,37.8001080000,-122.4123740000,0.0000000000,MASON ST,UNION ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Lyon St SE-FS/PS,UNINLYO1,UNINLYON,6772.0000000000,37.7955990000,-122.4467020000,0.0000000000,LYON ST,UNION ST,FS,SE,,0.0000000000,2012/02/23,76.0000000000,
Union St&Laguna St SW-NS/BZ,UNINLGN1,UNINLGNA,6771.0000000000,37.7976410000,-122.4306510000,0.0000000000,LAGUNA ST,UNION ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Laguna St NE-NS/BZ,UNINLGN0,UNINLGNA,6770.0000000000,37.7977920000,-122.4304560000,0.0000000000,LAGUNA ST,UNION ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Leavenworth St SW-NS/PS,UNINLEA1,UNINLEAV,6769.0000000000,37.7993240000,-122.4175110000,0.0000000000,LEAVENWORTH ST,UNION ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Stockton St&Sutter St NE-FS/BB,STOKSUT0,STOKSUTT,6523.0000000000,37.7895960000,-122.4069230000,0.0000000000,SUTTER ST,STOCKTON TUNL,FS,NE,BB,0.0000000000,2012/02/23,76.0000000000,
Van Ness Ave&Bay St NE-FS/BZ,V N BAY1,V N FNCO,6806.0000000000,37.8042870000,-122.4249960000,0.0000000000,BAY ST,VAN NESS AVE,FS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
North Point St&Polk St NW-FS/BZ,N.PTPOL0,N.PTPOLK,5468.0000000000,37.8053130000,-122.4239870000,0.0000000000,POLK ST,NORTH POINT ST,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
North Point St&Larkin St SW-NS/BZ,N.PTLAR1,N.PTLARK,5465.0000000000,37.8054110000,-122.4221060000,0.0000000000,LARKIN ST,NORTH POINT ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
North Point St&Larkin St NE-NS/BZ,N.PTLAR0,N.PTLARK,5464.0000000000,37.8055900000,-122.4218900000,0.0000000000,LARKIN ST,NORTH POINT ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
North Point St&Hyde St SW-NS/BZ,N.PTHYD0,N.PTHYDE,5459.0000000000,37.8056330000,-122.4204670000,0.0000000000,HYDE ST,NORTH POINT ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Chestnut St&Pierce St SE-FS/BZ,CHESPIE1,CHESPIER,3953.0000000000,37.8003630000,-122.4393410000,0.0000000000,PIERCE ST,CHESTNUT ST,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Chestnut St&Gough St SE-FS/BZ,CHESGOU1,CHESGOUG,3946.0000000000,37.8018250000,-122.4278520000,0.0000000000,GOUGH ST,CHESTNUT ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Chestnut St&Divisadero St NE-NS/BZ,CHESDIV0,CHESDIVI,3940.0000000000,37.8000510000,-122.4427460000,0.0000000000,DIVISADERO ST,CHESTNUT ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Buchanan St SW-NS/BZ,UNINBUC1,UNINBUCH,6748.0000000000,37.7974270000,-122.4323020000,0.0000000000,BUCHANAN ST,UNION ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Union St&Baker St SW-NS/PS,UNINBAK1,UNINBAKR,6746.0000000000,37.7957500000,-122.4455090000,0.0000000000,BAKER ST,UNION ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Union St&Taylor St SW-NS/PS,UNINTAY1,UNINTAYL,6785.0000000000,37.7997430000,-122.4142200000,0.0000000000,TAYLOR ST,UNION ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
North Point St&Van Ness Ave SE-FS,N.PTV.N0,N.PTV.N.,5472.0000000000,37.8050370000,-122.4251110000,0.0000000000,VAN NESS AVE,NORTH POINT ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
